Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"St. Isabella school, Calgary, AB, Canada",6.7,6.2,6.2,50.910775,-113.936773
"Holy Child school, Calgary, AB, Canada",6.7,n/a,6.7,50.885885,-114.082718
"St. Benedict school, Calgary, AB, Canada",6.7,n/a,6.7,50.962015,-114.105452
"St. Monica school, Calgary, AB, Canada",6.7,n/a,6.7,51.03701,-114.068194
"Marion Carson school, Calgary, AB, Canada",6.6,7.8,7.8,51.092905,-114.161489
"Our Lady of the Assumption school, Calgary, AB, Canada",6.6,7.1,7.1,51.083401,-114.19152
"Riverbend school, Calgary, AB, Canada",6.6,6.5,6.5,50.97217,-114.018474
"Haysboro school, Calgary, AB, Canada",6.6,6.4,6.4,50.975335,-114.089026
"Holy Trinity school, Calgary, AB, Canada",6.6,6.1,6.1,51.038878,-113.974772
"Mount View school, Calgary, AB, Canada",6.6,5.9,5.9,51.06963,-114.052082
"Midnapore school, Calgary, AB, Canada",6.6,5.5,5.5,50.914939,-114.055274
"Sunnyside school, Calgary, AB, Canada",6.5,7.8,7.8,51.056645,-114.079166
"Almadina school, Calgary, AB, Canada",6.5,7,7,51.032643,-113.986423
"Prince of Wales school, Calgary, AB, Canada",6.5,6.9,6.9,50.924726,-114.033312
"St. Albert the Great school, Calgary, AB, Canada",6.5,6.8,6.8,50.921586,-113.960168
"St. James school, Calgary, AB, Canada",6.5,6.6,6.6,51.001149,-114.113563
"Connaught school, Calgary, AB, Canada",6.5,5.8,5.8,51.041619,-114.087698
"Holy Family school, Calgary, AB, Canada",6.5,5.7,5.7,51.045572,-113.988157
"Annie Foote school, Calgary, AB, Canada",6.5,5,5,51.086056,-113.940378
"Langevin school, Calgary, AB, Canada",6.4,7.5,7.5,51.052795,-114.04765
"Calgary Arts school, Calgary, AB, Canada",6.4,7.4,7.4,51.036031,-114.108286
"St. Augustine school, Calgary, AB, Canada",6.4,6.4,6.4,50.991133,-114.081486
"W. O. Mitchell school, Calgary, AB, Canada",6.4,6.2,6.2,51.113719,-114.19406
"Beddington Heights school, Calgary, AB, Canada",6.4,5.4,5.4,51.131732,-114.079413
"St. Cecilia school, Calgary, AB, Canada",6.3,6.4,6.4,50.96525,-114.050799
"Don Bosco school, Calgary, AB, Canada",6.3,6.2,6.2,50.931292,-114.018114
"Indus school, Calgary, AB, Canada",6.2,6,6,50.915928,-113.779185
"St. Wilfrid school, Calgary, AB, Canada",6.2,5.7,5.7,51.092289,-113.969136
"St. Bernadette school, Calgary, AB, Canada",6.2,5.2,5.2,50.990327,-114.008987
"St. Marguerite school, Calgary, AB, Canada",6.2,n/a,6.2,50.921254,-113.936846
"University school, Calgary, AB, Canada",6.1,7.4,7.4,51.069792,-114.133287
"St. Angela school, Calgary, AB, Canada",6.1,n/a,6.1,51.054485,-114.048559
"Terre des Jeunes school, Calgary, AB, Canada",6.1,n/a,6.1,51.085697,-114.151005
"Sundance school, Calgary, AB, Canada",6,6.3,6.3,50.900624,-114.047067
"North Haven school, Calgary, AB, Canada",6,5.5,5.5,51.097239,-114.08675
