Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"Katherine Therrien school, Edmonton, AB, Canada",4.3,4.8,4.8,53.612127,-113.52715
"Overlanders school, Edmonton, AB, Canada",4.3,4.7,4.7,53.581312,-113.388967
"St. Leo school, Edmonton, AB, Canada",4.3,4.5,4.5,53.575379,-113.424894
"Prince Charles school, Edmonton, AB, Canada",4.3,3.7,3.7,53.578474,-113.53942
"Evansdale school, Edmonton, AB, Canada",4.3,3,3,53.610216,-113.483982
"Oliver school, Edmonton, AB, Canada",4.2,6,6,53.54384,-113.524105
"St. Timothy school, Edmonton, AB, Canada",4.2,5.3,5.3,53.605744,-113.523951
"St. Catherine school, Edmonton, AB, Canada",4.2,4.9,4.9,53.556211,-113.509455
"York school, Edmonton, AB, Canada",4.2,4.3,4.3,53.601733,-113.435149
"Grace Martin school, Edmonton, AB, Canada",4.2,4,4,53.469333,-113.456965
"Kameyosek school, Edmonton, AB, Canada",4.1,5,5,53.460821,-113.441307
"Rio Terrace school, Edmonton, AB, Canada",4,5.9,5.9,53.508471,-113.586288
"Dr. Donald Massey school, Edmonton, AB, Canada",3.9,5.1,5.1,53.623383,-113.421677
"Athlone school, Edmonton, AB, Canada",3.9,4.8,4.8,53.588341,-113.544754
"Thorncliffe school, Edmonton, AB, Canada",3.9,4.8,4.8,53.515906,-113.623031
"Lorelei school, Edmonton, AB, Canada",3.9,4.7,4.7,53.623908,-113.501567
"Belmead school, Edmonton, AB, Canada",3.9,3.9,3.9,53.525697,-113.638369
"Brightview school, Edmonton, AB, Canada",3.9,3.2,3.2,53.549024,-113.587574
"John Paul I school, Edmonton, AB, Canada",3.8,5.4,5.4,53.472051,-113.426309
"Kirkness school, Edmonton, AB, Canada",3.8,4.7,4.7,53.611031,-113.386996
"St. Pius X school, Edmonton, AB, Canada",3.7,5.8,5.8,53.577778,-113.543155
"Bannerman school, Edmonton, AB, Canada",3.7,3.7,3.7,53.604892,-113.378434
"St. Anne school, Edmonton, AB, Canada",3.6,4.5,4.5,53.604013,-113.485552
"Ben Calf Robe - St. Clare school, Edmonton, AB, Canada",3.6,1.4,1.4,53.571311,-113.439395
"Ekota school, Edmonton, AB, Canada",3.5,4.4,4.4,53.449241,-113.440999
"St. Justin school, Edmonton, AB, Canada",3.5,3,3,53.517525,-113.623211
"Headway school, Edmonton, AB, Canada",3.4,5.7,5.7,53.547569,-113.444136
"Dunluce school, Edmonton, AB, Canada",3.3,4.5,4.5,53.622227,-113.527489
"Norwood school, Edmonton, AB, Canada",3.2,4.5,4.5,53.560499,-113.487872
"Our Lady of Peace school, Edmonton, AB, Canada",3.1,3.2,3.2,53.555709,-113.595012
"Satoo school, Edmonton, AB, Canada",3,4.9,4.9,53.446803,-113.46054
"Mee-Yah-Noh school, Edmonton, AB, Canada",3,3.8,3.8,53.586931,-113.483006
"Belmont school, Edmonton, AB, Canada",2.6,3.4,3.4,53.593422,-113.392553
"Menisa school, Edmonton, AB, Canada",2.5,4.9,4.9,53.44278,-113.448699
"Beacon Heights school, Edmonton, AB, Canada",2.5,n/a,2.5,53.57532,-113.414029
"St. Elizabeth Seton school, Edmonton, AB, Canada",2.4,4.8,4.8,53.595275,-113.396884
"Lee Ridge school, Edmonton, AB, Canada",2.4,4.1,4.1,53.471198,-113.444764
"Sherwood school, Edmonton, AB, Canada",2.4,3.1,3.1,53.532918,-113.584094
"St. Francis of Assisi school, Edmonton, AB, Canada",2.4,2.8,2.8,53.5882,-113.44385
"Sifton school, Edmonton, AB, Canada",2.3,3,3,53.526623,-113.609523
"Calder school, Edmonton, AB, Canada",2.3,n/a,2.3,53.588842,-113.525421
"Coralwood Adventist school, Edmonton, AB, Canada",2.2,3.9,3.9,53.57297,-113.55545
"John A. McDougall school, Edmonton, AB, Canada",2,4.8,4.8,53.555588,-113.505167
"Al-Mustafa school, Edmonton, AB, Canada",1.8,n/a,1.8,53.514269,-113.455441
"Lauderdale school, Edmonton, AB, Canada",1.6,n/a,1.6,53.587756,-113.503701
"Abbott school, Edmonton, AB, Canada",1.5,1.2,1.2,53.574218,-113.393094
"Ivor Dent school, Edmonton, AB, Canada",1.5,n/a,1.5,53.563442,-113.389363
"John Barnett school, Edmonton, AB, Canada",1.1,2.3,2.3,53.609609,-113.450687
"Delton school, Edmonton, AB, Canada",0.4,1.8,1.8,53.575874,-113.478552
